# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: ma_fetch.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
              76   N   0000a6f8   00000313   0000a6fc   x28_t3     00000006
              77   N   0000a6fc   00000297   0000a700   x06_t1     00000000
              78   N   0000a700   00c28293   0000a704   x05_t0     0000a700
              79   N   0000a704   00000363   0000a708   x05_t0     0000a70c
              80   N   0000a708   0000a011   0000a70e   ---        --------
              83   N   0000a70e   07c0006f   0000a714   ---        --------
              86   N   0000a714   00001563   0000a718   x28_t3     00000007
              87   N   0000a718   00c0006f   0000a71c   ---        --------
              88   N   0000a71c   0000a009   0000a728   ---        --------
              91   N   0000a728   301023f3   0000a72c   x28_t3     00000008
              92   N   0000a72c   0043f393   0000a730   x07_t2     40001104
              93   N   0000a730   04038863   0000a734   x07_t2     00000004
              94   N   0000a734   00000001   0000a738   ---        --------
              95   N   0000a738   30127073   0000a73a   ---        --------
              96   N   0000a73a   00000001   0000a73e   ---        --------
              97   N   0000a73e   301023f3   0000a740   ---        --------
              98   N   0000a740   0043f393   0000a744   x07_t2     40001104
              99   N   0000a744   04038263   0000a748   x07_t2     00000004
             100   N   0000a748   00000297   0000a74c   ---        --------
             101   N   0000a74c   03428293   0000a750   x05_t0     0000a74c
             102   N   0000a750   ffe28293   0000a754   x05_t0     0000a780
             103   N   0000a754   34129073   0000a758   x05_t0     0000a77e
             104   N   0000a758   30127073   0000a75c   ---        --------
             105   N   0000a75c   301023f3   0000a760   ---        --------
             106   N   0000a760   0043f393   0000a764   x07_t2     40001104
             107   N   0000a764   00039e63   0000a768   x07_t2     00000004
             108   N   0000a768   000023b7   0000a784   ---        --------
             111   N   0000a784   01c01a63   0000a79c   ---        --------
             114   N   0000a79c   000e0593   0000a7a0   ---        --------
             115   N   0000a7a0   00000513   0000a7a4   x11_a1     00000008
             116   N   0000a7a4   00000073   0000a7a8   x10_a0     00000000
             117   E   0000a7a8   00200513   000008c0   mstatus    00001800
             117   E   0000a7a8   00200513   000008c0   mepc       0000a7a8
             117   E   0000a7a8   00200513   000008c0   mcause     0000000b
             117   E   0000a7a8   00200513   000008c0   mtval      00000000
             120   N   000008c0   00004785   000008c4   x14_a4     0000000b
             121   N   000008c4   00008ff9   000008c6   x15_a5     00000001
             122   N   000008c6   0000c385   000008c8   x15_a5     00000001
             123   N   000008c8   f0000837   000008ca   ---        --------
             124   N   000008ca   c385a897   000008ce   x16_a6     f0000000
             126   N   000008ce   f0008893   000008d2   x17_a7     0000a8ce
             128   N   000008d2   00008783   000008d6   x17_a7     0000a680
             131   N   000008d6   0000c791   000008da   x15_a5     0000004d
             132   N   000008da   00f82023   000008dc   ---        --------
             134   N   000008dc   00000885   000008e0   ---        --------
             135   N   000008e0   ff5ff06f   000008e2   x17_a7     0000a681
             136   N   000008e2   0000a035   000008d6   ---        --------
             141   N   000008d6   0000c791   000008da   x15_a5     00000069
             142   N   000008da   00f82023   000008dc   ---        --------
             144   N   000008dc   00000885   000008e0   ---        --------
             145   N   000008e0   ff5ff06f   000008e2   x17_a7     0000a682
             146   N   000008e2   0000a035   000008d6   ---        --------
             151   N   000008d6   0000c791   000008da   x15_a5     00000073
             152   N   000008da   00f82023   000008dc   ---        --------
             154   N   000008dc   00000885   000008e0   ---        --------
             155   N   000008e0   ff5ff06f   000008e2   x17_a7     0000a683
             156   N   000008e2   0000a035   000008d6   ---        --------
             161   N   000008d6   0000c791   000008da   x15_a5     00000061
             162   N   000008da   00f82023   000008dc   ---        --------
             164   N   000008dc   00000885   000008e0   ---        --------
             165   N   000008e0   ff5ff06f   000008e2   x17_a7     0000a684
             166   N   000008e2   0000a035   000008d6   ---        --------
             171   N   000008d6   0000c791   000008da   x15_a5     0000006c
             172   N   000008da   00f82023   000008dc   ---        --------
             174   N   000008dc   00000885   000008e0   ---        --------
             175   N   000008e0   ff5ff06f   000008e2   x17_a7     0000a685
             176   N   000008e2   0000a035   000008d6   ---        --------
             181   N   000008d6   0000c791   000008da   x15_a5     00000069
             182   N   000008da   00f82023   000008dc   ---        --------
             184   N   000008dc   00000885   000008e0   ---        --------
             185   N   000008e0   ff5ff06f   000008e2   x17_a7     0000a686
             186   N   000008e2   0000a035   000008d6   ---        --------
             191   N   000008d6   0000c791   000008da   x15_a5     00000067
             192   N   000008da   00f82023   000008dc   ---        --------
             194   N   000008dc   00000885   000008e0   ---        --------
             195   N   000008e0   ff5ff06f   000008e2   x17_a7     0000a687
             196   N   000008e2   0000a035   000008d6   ---        --------
             201   N   000008d6   0000c791   000008da   x15_a5     0000006e
             202   N   000008da   00f82023   000008dc   ---        --------
             204   N   000008dc   00000885   000008e0   ---        --------
             205   N   000008e0   ff5ff06f   000008e2   x17_a7     0000a688
             206   N   000008e2   0000a035   000008d6   ---        --------
             211   N   000008d6   0000c791   000008da   x15_a5     00000021
             212   N   000008da   00f82023   000008dc   ---        --------
             214   N   000008dc   00000885   000008e0   ---        --------
             215   N   000008e0   ff5ff06f   000008e2   x17_a7     0000a689
             216   N   000008e2   0000a035   000008d6   ---        --------
             221   N   000008d6   0000c791   000008da   x15_a5     00000000
             222   N   000008da   00f82023   000008e6   ---        --------
             225   N   000008e6   000047a1   00000912   ---        --------
             229   N   00000912   20230013   0000a820   ---        --------
             232   N   0000a820   8d428293   0000a824   x05_t0     00000820
             233   N   0000a824   00008282   0000a828   x05_t0     000000f4
             234   N   0000a828   00000013   000000f4   ---        --------
             237   N   000000f4   0000006f   000000f8   ---        --------
             238   N   000000f8   ffffffff   000000f8   ---        --------
